row,debt,dividend,earnings,inflation,markets,bonds,FTSE,financial markets,investment,derivatives,economy,stocks,economics,leverage,risk,short selling,credit,price
74,54.2,59,62,46,30,32,13,17,79,53,55,71,46,61,69,25,45,6106.48
75,63.5,62,67,52,32,37,13,16,90,69,50,67,50,81,84,38,48,6146.05
76,60.5,61,80,65,32,27,14,21,93,67,57,69,64,73,91,32,46,6204.41
77,60.6,55,71,66,32,25,15,20,88,66,60,61,65,90,99,34,46,6343.75
78,62.1,55,73,67,32,26,13,20,86,57,58,60,72,87,94,31,46,6310.44
79,56.2,46,64,61,35,53,11,24,76,78,58,58,71,74,87,46,44,6241.89
80,60.7,52,59,62,34,30,12,18,85,78,60,57,95,79,94,41,46,6125.7
81,63.6,61,60,67,34,25,12,17,87,86,60,58,91,74,96,32,48,6138.5
82,60.8,55,61,59,32,23,12,19,78,62,53,57,69,75,85,41,46,6156.32
83,54.3,36,53,41,34,38,11,19,76,80,53,59,46,61,72,44,44,6270.79
84,60.9,34,55,45,30,25,13,20,80,57,56,54,49,51,83,49,45,6209.63
85,55.5,33,54,45,30,22,17,19,71,55,54,54,54,69,77,34,45,6115.76
86,62.2,35,47,57,66,20,81,100,78,59,100,98,72,73,76,34,45,6021.09
87,54.4,47,64,47,58,30,100,64,80,35,73,95,40,65,75,61,48,6138.69
88,56.3,42,67,41,36,32,43,24,79,58,57,62,33,70,73,36,49,6577.83
89,56.4,43,68,42,37,22,40,26,72,57,48,67,28,63,69,38,48,6590.64
90,52.5,41,65,46,35,20,29,20,80,55,51,59,26,60,68,52,47,6669.24
91,52.6,53,78,38,34,21,24,10,78,42,49,58,26,65,66,24,49,6730.48
92,54.5,46,64,46,35,46,23,14,78,54,51,58,28,60,66,31,49,6724.43
93,49.2,48,61,39,34,24,23,14,74,33,46,56,24,54,65,39,45,6793.47
94,50.3,43,58,47,34,21,20,13,69,35,45,55,37,53,63,32,44,6916.02
95,52.7,39,56,38,38,20,19,19,78,52,45,57,37,66,67,32,46,6858.95
96,49.3,39,45,37,41,34,17,14,77,48,50,56,37,53,61,35,48,6838.05
97,54.6,41,52,46,45,30,18,18,82,56,52,63,52,55,73,30,50,6894.6
98,58.1,40,54,53,47,27,18,14,82,59,55,54,55,47,77,37,51,6776.95
99,57.2,44,54,49,48,26,18,20,81,55,56,59,61,51,81,32,48,6710.28
100,61.3,43,64,51,51,31,18,23,82,62,58,58,66,53,80,50,48,6909.43
101,60.1,43,57,60,60,57,24,22,86,73,60,61,71,66,86,23,48,6899.33
102,59.5,39,61,73,63,30,22,25,88,69,63,62,68,59,85,38,47,7044.39
103,57.3,38,68,92,66,30,18,21,90,73,63,59,62,62,85,25,48,7013.55
104,57.4,39,71,51,65,26,18,16,86,76,64,59,51,65,81,37,48,7020.47
105,56.5,44,67,83,70,53,18,22,91,88,64,55,59,70,86,41,49,6996.26
106,61.4,44,59,62,100,29,30,40,89,64,68,72,61,62,90,28,48,6693.26
107,61.5,47,69,70,91,29,19,22,88,87,66,65,65,63,93,24,48,6730.43
108,70.1,45,69,62,89,26,17,20,82,78,68,55,61,58,91,41,46,6775.77
109,60.11,46,67,61,93,40,16,23,87,76,65,56,63,77,90,28,48,6840.75
110,58.2,50,62,61,83,29,17,23,82,65,64,59,67,77,91,34,46,6730.72
111,55.6,48,60,67,72,24,18,16,77,53,58,56,53,61,80,25,45,6954.21
112,42,38,52,48,67,19,18,18,68,40,47,56,32,46,63,22,43,7011.64
113,32,28,52,33,21,19,13,10,45,31,43,53,27,42,43,20,37,7068.17
114,59.6,51,63,59,27,58,18,17,76,51,59,61,48,56,71,21,48,7142.83
115,68,58,79,65,27,29,22,17,92,68,68,69,64,64,94,28,50,7210.05
116,69.2,55,80,84,28,28,23,23,93,68,70,65,62,66,88,23,51,7337.81
117,69.3,55,80,64,27,27,19,17,87,68,66,63,57,49,87,42,52,7198.44
118,67,56,76,69,28,44,17,19,91,58,65,66,55,61,87,29,52,7184.49
119,66.2,50,68,64,28,30,18,17,89,73,63,64,54,64,89,36,50,7188.3
120,63.7,52,66,78,30,26,17,20,88,59,63,68,48,67,89,36,48,7258.75
121,63.8,65,71,64,28,26,17,23,89,54,66,71,56,73,93,32,47,7299.96
122,64.3,57,66,69,30,42,19,25,93,74,68,70,63,81,95,33,50,7243.7
123,69.4,81,70,78,30,29,17,20,99,62,71,72,62,65,100,48,50,7374.26
124,64.4,60,65,75,29,26,19,19,97,67,74,74,58,79,95,29,48,7343.08
125,64.5,57,62,95,29,25,19,22,100,75,69,73,61,92,92,36,49,7424.96
126,66.3,58,63,74,30,28,20,22,95,64,69,78,57,72,91,40,51,7336.82
127,61.6,63,74,59,30,54,17,20,93,75,61,75,50,61,85,43,54,7322.92
128,53.5,47,72,66,31,25,15,17,79,55,54,76,47,61,76,26,50,7349.37
129,62.3,45,69,59,34,22,18,18,78,56,60,64,54,71,80,40,50,7327.59
130,66.4,56,91,70,31,25,19,23,92,71,65,68,68,74,93,39,51,7114.55
131,63.9,55,86,66,33,44,13,21,83,77,68,66,68,87,90,51,50,7203.94
132,73,62,75,71,29,26,18,16,92,71,66,78,78,87,97,28,51,7297.43
133,74,65,74,80,29,24,20,20,86,77,65,70,70,79,90,43,51,7435.39
134,63.1,50,61,58,29,21,19,18,75,55,51,63,57,84,85,45,47,7470.71
135,69.5,51,58,53,32,35,15,12,75,40,56,63,54,75,68,38,51,7547.63
136,75,44,56,56,30,25,21,20,70,58,56,63,68,76,76,32,49,7547.63
137,62.4,40,55,81,30,22,18,16,76,58,49,66,59,74,81,32,52,7527.33
138,58.3,41,59,55,29,20,17,22,73,60,49,63,47,61,82,41,53,7463.54
139,64.6,41,63,53,31,24,19,15,76,48,50,70,40,74,78,28,55,7424.13
140,64.7,41,66,55,30,49,16,13,79,52,54,69,34,65,73,28,57,7312.72
141,62.5,38,74,53,32,22,15,13,77,53,73,67,30,53,72,48,56,7350.92
142,62.6,43,100,70,31,21,16,16,80,42,49,65,29,63,73,32,55,7378.39
143,66.5,49,85,50,33,22,18,16,80,49,49,66,25,54,70,39,56,7452.91
144,60.12,52,76,52,37,42,18,13,83,52,52,67,25,67,67,37,59,7368.37
145,55.7,52,69,49,37,25,18,11,81,57,51,70,27,56,68,22,56,7511.71
146,58.4,43,57,55,38,23,18,14,75,55,50,58,43,52,69,44,54,7309.96
147,61.7,44,71,39,37,21,18,15,77,56,50,59,39,65,67,30,53,7323.98
148,53.6,40,70,44,39,28,16,12,74,45,52,63,34,54,61,24,52,7401.46
149,61.8,47,57,55,44,33,18,16,91,54,56,63,48,60,81,34,57,7438.5
150,58.5,44,57,88,46,26,17,20,88,53,57,65,57,54,77,36,54,7377.6
151,61.9,48,60,57,49,26,17,20,80,52,61,61,55,59,82,38,53,7215.47
152,61.1,45,58,57,50,27,16,19,85,74,65,63,59,57,80,32,54,7310.64
153,62.7,50,59,61,49,51,17,17,85,79,62,81,66,70,81,46,56,7372.76
154,61.11,45,59,61,53,30,16,28,96,78,65,70,71,64,93,43,57,7522.87
155,64.8,46,63,100,51,26,17,21,97,80,63,69,60,58,86,37,59,7535.44
156,60.13,46,79,63,53,25,16,24,92,73,61,67,48,76,79,39,58,7523.23
